Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
1/17/2018,1903,1/17/2018,2018,1,18009204,5D,1400 B/O Staples St NE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
1/18/2018,1838,1/18/2018,2018,1,18009754,7D,300 B/O Livingston Ter SE,Gender Identity/Expression,,Simple Assault
1/19/2018,0446,1/19/2018,2018,1,18009995,3D,3100 B/O 14th St NW,Sexual Orientation,,Simple Assault
1/19/2018,1202,1/19/2018,2018,1,18010118,3D,1100 B/O Rhode Island Ave NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
1/20/2018,0258,1/20/2018,2018,1,18010652,2D,700 B/O 11th St NW,Sexual Orientation,,Simple Assault
1/21/2018,0222,1/21/2018,2018,1,18011228,1D,800 B/O 7th St NW,Race,Black,Displaying Symbols
1/28/2018,2004,1/28/2018,2018,1,18015847,5D,1500 B/O Isherwood St NE,Sexual Orientation,,ADW
1/29/2018,1632,1/29/2018,2018,1,18016303,2D,2600 B/O Connecticut Ave NW,Race,White,Simple Assault
1/31/2018,1816,2/1/2018,2018,2,18017482,7D,3200 B/O Stanton Rd SE,Race,White,ADW
2/2/2018,1330,2/2/2018,2018,2,18018660,6D,3700 B/O Minnesota Ave NE,Gender Identity/Expression,,ADW
2/3/2018,0203,2/3/2018,2018,2,18018893,5D,1800 B/O New York Ave NE,Sexual Orientation,,ADW
2/11/2018,1634,2/11/2018,2018,2,18023621,2D,1300 B/O Connecticut Ave NW,Sexual Orientation,,Threats
2/14/2018,0710,2/14/2018,2018,2,18025351,5D,1400 B/O Okie St NE,Sexual Orientation,,Threats
2/17/2018,2323,2/18/2018,2018,2,18027375,5D,2800 B/O 12th St NE,Ethnicity/National Origin,Asian,Simple Assault
2/20/2018,1245,2/18/2018,2018,2,18028707,3D,900 B/O Massachusetts Ave NW,Gender Identity/Expression,,Simple Assault
2/22/2018,1240,2/22/2018,2018,2,18030040,5D,1200 B/O 5th St NE,Sexual Orientation,,ADW
2/24/2018,1515,2/24/2018,2018,2,18031276,1D,100 B/O L St NW,Gender Identity/Expression,,Simple Assault
2/25/2018,1826,2/25/2018,2018,2,18031870,2D,1600 B/O 35th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
